RestaurantID,Has Online delivery,Has Table booking
100155,No,Yes
100156,No,No
100157,yes,No
100158,Yes,No
100159,Yes,Yes
100160,No,No
100161,Yes,No
100162,Yes,No
100163,No,No
100164,Yes,No
100165,Yes,No
100166,No,No
100167,No,No
100168,No,No
100169,Yes,No
100170,Yes,No
100171,Yes,No
100172,Yes,No
100173,No,Yes
100174,No,No
100175,No,No
100176,No,No
100177,No,Yes
100178,No,No
100179,No,No
100180,Yes,No
100181,Yes,No
100182,Yes,No
100183,No,No
100184,No,No
100185,No,No
100186,Yes,No
100187,Yes,No
100188,Yes,Yes
100189,No,No
100190,Yes,No
100191,No,No
100192,No,No
100193,Yes,No
100194,Yes,No
100195,No,No
100196,No,No
100197,Yes,No
100198,No,No
100199,No,No
100200,Yes,No
100201,Yes,No
100202,No,No
100203,Yes,No
100204,No,No
100205,No,No
100206,No,No
100207,No,No
100208,No,No
100209,No,No
100210,No,No
100211,No,Yes
100212,No,No
100213,No,No
100214,No,No
100215,No,No
100216,No,Yes
100217,Yes,No
100218,Yes,No
100219,Yes,Yes
100220,No,No
100221,Yes,Yes
100222,Yes,No
100223,nan,Yes
100224,Yes,No
100225,Yes,No
100226,No,No
100227,Yes,No
100228,No,Yes
100229,No,No
100230,No,No
100231,Yes,Yes
100232,No,No
100233,No, Ye
100234,Yes,No
100235,No,Yes
100236,Yes,No
100237,Yes,Yes
100238,Yes,No
100239,No,No
100240,No,No
100241,No,No
100242,No,No
100243,No,yes
100244,No,No
100245,No,No
100246,Yes,No
100247,No,No
100248,No,No
100249,Yes,Yes
100250,Yes,No
100251,Yes,No
100252,No,No
100253,Yes,No
100254,Yes,No
100255,Yes,No
100256,Yes,No
100257,Yes,No
100258,No,No
100259,Yes,No
100260,No,No
100261,No,No
100262,No,No
100263,No,No
100264,No,Yes
100265,Yes,No
100266,No,No
100267,No,No
100268,Yes,No
100269,No,No
100270,No,No
100271,No,No
100272,Yes,No
100273,No,No
100274,Yes,No
100275,Yes,No
100276,No,No
100277,Yes,No
100278,No,No
100279,No,No
100280,No,No
100281,No,No
100282,No,No
100283,No,Yes
100284,No,No
100285,No,No
100286,No,No
100287,Yes,No
100288,No,No
100289,Yes,No
100290,Yes,No
100291,No,No
100292,No,No
100293,No,No
100294,Yes,No
100295,no,No
100296,Yes,Yes
100297,No,No
100298,No,No
100299,Yes,Yes
100300,Yes,Yes
100301,Yes,Yes
100302,Yes,No
100303,No,No
100304,Yes,Yes
100305,No,No
100306,No,No
100307,Yes,No
100308,N,No
100309,No,No
100310,No,No
100311,Yes,No
100312,Yes,No
100313,No,Yes
100314,Yes,No
100315,No,No
100316,No,No
100317,No,No
100318,No,Yes
100319,Yes,No
100320,Yes,No
100321,No,No
100322,No,No
100323,Yes,Yes
100324,Yes,No
100325,Yes,No
100326,No,No
100327,No,No
100328,Yes,No
100329,No,No
100330,Yes,No
100331,No,No
100332,No,No
100333,No,No
100334,Yes,No
100335,No,No
100336,No,Yes
100337,No,No
100338,Yes,No
100339,No,No
100340,Yes,Yes
100341,No,No
100342,No,No
100343,Yes,No
100344,No,No
100345,No,No
100346,N,No
100347,Yes,No
100348,No,No
100349,No,Yes
100350,No,No
100351,Yes,No
100352,No,No
100353,No,No
100354,No,No
100355,No,No
100356,No,No
100357,No,No
100358,No,No
100359,Yes,No
100360,Yes,No
100361,Yes,No
100362,No,No
100363,Yes,Yes
100364,No,Yes
100365,Yes,No
100366,No,No
100367,Yes,No
100368,Yes,No
100369,Yes,No
100370,No,No
100371,Yes,No
100372, Ye,No
100373,No,Yes
100374,Yes,No
100375,No,Yes
100376,No,No
100377,No,No
100378,No,Yes
100379, Ye,Yes
100380,No,No
100381,No,Yes
100382,No,No
100383,No,No
100384,Yes,Yes
100385,No,No
100386,Yes,No
100387,No,No
100388,Yes,Yes
100389,Yes,Yes
100390,No,Yes
100391,Yes,No
100392,Yes,No
100393,Yes,Yes
100394,Yes,No
100395,No,No
100396,No,No
100397,No,No
100398,No,No
100399,Yes,No
100400,No,No
100401,No,No
100402,Yes,No
100403,No,No
100404,Yes,No
100405,Yes,No
100406,No,No
100407,Yes,No
100408,Yes,No
100409,Yes,No
100410,Yes,No
100411,Yes,No
100412,No,No
100413,Yes,Yes
100414,No,No
100415,No,Yes
100416,No,No
100417,Yes,No
100418,No,No
100419,No,No
100420,Yes,No
100421,No,No
100422,No,No
100423,No,No
100424,No,No
100425,Yes,Yes
100426,Y,No
100427,No,No
100428,No,Yes
100429,Yes,No
100430,No,Yes
100431,Yes,No
100432,No,No
100433,Yes,No
100434,No,No
100435,No,No
100436,No,No
100437,Yes,No
100438, No,N
100439,Yes,No
100440,No,No
100441,Yes,No
100442,No,Yes
100443,No,Yes
100444,No,Yes
100445,No,No
100446,Yes,No
100447,No,No
100448,No,No
100449,No,nan
100450,No,Yes
100451,No,No
100452,Yes,Yes
100453,No,No
100454,Yes,No
100455,Yes,Yes
100456,No,No
100457,No,No
100458,No,No
100459,No,No
100460,No,No
100461,No,No
100462,Yes,No
100463,No,Yes
100464,Yes,No
100465,No,No
100466,No,No
100467,yes,No
100468,No,No
100469,Yes,No
100470,Yes,No
100471,Yes,No
100472,No,No
100473,yes,Yes
100474,Yes,No
100475,No,No
100476,No,No
100477,No,No
100478,No,No
100479,No,No
100480,Yes,No
100481,No,No
100482,No,No
100483,Yes,No
100484,No,No
100485,No,No
100486,Yes,Yes
100487,Yes,No
100488,Yes,No
100489,Yes,No
100490,No,No
100491,Yes,No
100492,No,No
100493,No,No
100494,No,No
100495,Yes,No
100496,No,No
100497,No,No
100498,No,No
100499,No,No
100500,No,No
100501,No,No
100502,No,No
100503,No,No
100504,No,No
100505,No,Yes
100506,No,No
100507,No,No
100508,No,Yes
100509,Yes,No
100510,Yes,No
100511,No,No
100512,No,No
100513,No,No
100514,No,No
100515,No,No
100516,Yes,No
100517,No,No
100518,Yes,No
100519,No,No
100520,Yes,No
100521,Yes,No
100522,Yes,Yes
100523,No,No
100524,No,No
100525,No,No
100526,No,No
100527,Yes,No
100528,No,No
100529,yes,No
100530,No,No
100531,No,No
100532,Yes,No
100533,No,Yes
100534,No,No
100535,Yes,No
100536,No,N
100537,No,No
100538,Yes,No
100539,Yes,No
100540,No,No
100541,Yes,No
100542,No,No
100543,No,No
100544,No,No
100545,Yes,No
100546,Yes,No
100547,No,Yes
100548,Yes,Yes
100549,Yes,No
100550,No,No
100551,No,No
100552,Yes,No
100553,No,No
100554,Yes,No
100555,No,No
100556,Yes,No
100557,No,No
100558,No,No
100559,Yes,No
100560,No,Yes
100561,No,Yes
100562,No,Yes
100563,No,No
100564,Yes,No
100565,No,No
100566,No,No
100567,Yes,Yes
100568,Yes,No
100569,Yes,No
100570,No,No
100571,Yes,No
100572,Yes,No
100573,Yes,No
100574,No,No
100575,No,No
100576,Yes,Yes
100577,No,Yes
100578,No,No
100579,No,No
100580,Yes,No
100581,Yes,No
100582,Yes,No
100583,No,No
100584,No,No
100585,Yes,No
100586,Yes,No
100587,No,No
100588,Yes,Yes
100589,Yes,No
100590,No,Yes
100591,No,Yes
100592,Yes,No
100593,No,No
100594,No,No
100595,No,No
100596,No,No
100597,No,Yes
100598,Yes,No
100599,No,No
100600,No,Yes
100601,No,No
100602,No,No
100603,Yes,No
100604,Yes,No
100605,No,No
100606,No,No
100607,Yes,No
100608,Yes,No
100609,No,No
100610,Yes,No
100611,Yes,No
100612,Yes,No
100613,No, No
100614,No,No
100615,Yes,No
100616,No,No
100617,Yes,No
100618,No,Yes
100619,Yes,No
100620,No,No
100621,No,No
100622,No,No
100623,No,No
100624,No,No
100625,No,No
100626,Yes,No
100627,Yes,No
100628,Yes,No
100629,No,No
100630,Yes,Yes
100631,No,Yes
100632,Yes,No
100633,Yes,No
100634,No,No
100635,No,No
100636,No,No
100637,No,No
100638,No,No
100639,No,No
100640,No,no
100641,Yes,No
100642,Yes,Yes
100643,No,No
100644,No,Yes
100645,No,No
100646,No,No
100647,Yes,No
100648,Yes,No
100649,No,No
100650,Yes,No
100651,Yes,No
100652,No,No
100653,No,No
100654,No,No
100655,No,No
100656,No,Yes
100657,No,No
100658,Yes,No
100659,No,No
100660,No,No
100661,No,No
100662,Yes,No
100663,No,No
100664,Yes,No
100665,Yes,Yes
100666,No,No
100667,No,No
100668,No,No
100669,Yes,No
100670,Yes,No
100671,Yes,No
100672,No,No
100673,No,No
100674,No,No
100675,No,yes
100676,Yes,Yes
100677,No,No
100678,No,Yes
100679,No,No
100680,No,No
100681,No,No
100682,No,No
100683,No,No
100684,Yes,No
100685,Yes,No
100686,No,No
100687,No,No
100688,No, No
100689,Yes,No
100690,No,no
100691,No,No
100692,No,No
100693,Yes,No
100694,No,No
100695,Yes,Yes
100696,No,No
100697,No,Yes
100698,Yes,No
100699,No,No
100700,No,No
100701,No,No
100702,No,No
100703,Yes,No
100704,No,No
100705,No,Yes
100706,Yes,No
100707,No,No
100708,Yes,Yes
100709,No,Yes
100710,No,No
100711,No,No
100712,No,No
100713,No,No
100714,No,No
100715,No,nan
100716,Yes,No
100717,No,Yes
100718,No,No
100719,Yes,No
100720,Yes,No
100721,Yes,No
100722,No,No
100723,Yes,Yes
100724,Yes,No
100725,Yes,No
100726,No,No
100727,Yes,No
100728,No,Yes
100729,No,No
100730,No,No
100731,No,No
100732,Yes,Yes
100733,No,No
100734,No,No
100735,No,No
100736,Yes,No
100737,Yes,Yes
100738,No,No
100739,No,No
100740,No,No
100741,No,No
100742,Yes,No
100743,Yes,No
100744,Yes,Yes
100745,Yes,No
100746,Yes,No
100747,No,Yes
100748,Yes,No
100749,Yes,No
100750,Yes,Yes
100751,No,No
100752,Yes,No
100753,No,No
100754,No,No
100755,No,No
100756,No,No
100757,Yes,Yes
100758,Yes,No
100759,Yes,No
100760,Yes,No
100761,Yes,No
100762,No,No
100763,Yes,No
100764,No,No
100765,Yes,No
100766,No,No
100767,No,No
100768,No,No
100769,No,No
100770,No,Yes
100771,Yes,No
100772,Yes,No
100773,No,No
100774,No,No
100775,Yes,No
100776,No,No
100777,No,No
100778,No,No
100779,No,Yes
100780,Yes,No
100781,No,Yes
100782,Yes,No
100783,Yes,No
100784,Yes,No
100785,Yes,No
100786,No,No
100787,No,No
100788,No,No
100789,No,No
100790,No,No
100791,Yes,No
100792,Yes,No
100793,Yes,Yes
100794,Yes,No
100795,Yes,No
100796,No,No
100797,Yes,No
100798,Yes,No
100799,Yes,Yes
100800,Yes,No
100801,Yes,no
100802,Yes,Yes
100803,No,No
100804, Ye,No
100805,Yes,No
100806,No,No
100807,Yes,No
100808,No,No
100809,Yes,Yes
100810,No,No
100811,No,No
100812,Yes,No
100813,No,No
100814,No,Yes
100815,No,No
100816,No,No
100817,Yes,Yes
100818,No,No
100819,Yes,No
100820,Yes,No
100821,Yes,No
100822,Yes,No
100823,No,Yes
100824,No,No
100825,Yes,No
100826,Yes,No
100827,No,No
100828,Yes,No
100829,No,nan
100830,No,No
100831,No,No
100832,No,No
100833,Yes,No
100834,Yes,No
100835,Yes,No
100836,No,Yes
100837,Yes,Yes
100838,No,Yes
100839,Yes,No
100840,No,No
100841,Yes,No
100842,No,No
100843,Yes,No
100844,No,No
100845,No,No
100846,Yes,No
100847,No,No
100848,Yes,No
100849,Yes,No
100850,No,No
100851,No,No
100852,Yes,No
100853,No,Yes
100854,Yes,Yes
100855,No,No
100856, No,No
100857,No,No
100858,No,No
100859,No,No
100860,No,No
100861,No,Yes
100862,No,No
100863,Yes,No
100864,No,No
100865,No,No
100866,Yes,Yes
100867,No,No
100868,Yes,No
100869,Yes,No
100870,No,No
100871,No,No
100872,Yes,No
100873,Yes,No
100874,No,No
100875,No,No
100876,Yes,No
100877,Yes,No
100878,Yes,No
100879,No,No
100880,No,No
100881,No,No
100882,No,No
100883,No,No
100884,No,Yes
100885,No,No
100886,Yes,Yes
100887,No,No
100888,Yes,No
100889,Yes,No
100890,No,No
100891,No,No
100892,No,No
100893,No,No
100894,No,No
100895,Yes,No
100896,No,No
100897,Yes,No
100898,Yes,No
100899,No,No
100900,No,No
100901,No,No
100902,No,No
100903,Yes,No
100904,No,No
100905,No,No
100906,Yes,No
100907,No,No
100908,No,No
100909,Yes,No
100910,Yes,No
100911,No,No
100912,Yes,No
100913,Yes,No
100914,No,Yes
100915,No,No
100916,Yes,No
100917,No,No
100918,No,No
100919,No,No
100920,Yes,No
100921,No,Yes
100922,No,No
100923,No,No
100924,No,No
100925,No,No
100926,Yes,No
100927,No,No
100928,No,No
100929,nan,Yes
100930,Yes,No
100931,Yes,Yes
100932,No,No
100933,No,No
100934,No,No
100935,No,nan
100936,No,No
100937,Yes,No
100938,No,No
100939,No,No
100940,No,No
100941,No,No
100942,No,No
100943,No,No
100944,No,No
100945,Yes,No
100946,Yes,No
100947,No,No
100948,No,No
100949,Yes,No
100950,No,No
100951,Yes,No
100952,No,No
100953,No,No
100954,No,No
100955,No,No
100956,No,No
100957,No,No
100958,Yes,No
100959,No,No
100960,Yes,No
100961,No,No
100962,Yes,No
100963,yes,No
100964,Yes,No
100965,Yes,Yes
100966,No,No
100967,Yes,No
100968,No,No
100969,Yes,No
100970,No,No
100971,No,No
100972,Yes,nan
100973,No,No
100974,No,No
100975,No,No
100976,No,No
100977,Yes,No
100978,No,No
100979,Yes,Yes
100980,No,No
100981,No,No
100982,No,No
100983,No,No
100984,No,No
100985,No,No
100986,No,No
100987,No,No
100988,Yes,No
100989,No,Yes
100990,No,No
100991,Yes,No
100992,Yes,No
100993,No,Yes
100994,No,No
100995,No,No
100996,Yes,No
100997,No,No
100998,Yes,No
100999,No,No
101000,Yes,No
101001,No,No
101002,Yes,No
101003,Yes,no
101004,No,No
101005,no,No
101006,No,No
101007,No,No
101008,Yes,No
101009,Yes,No
101010,Yes,No
101011,Yes,No
101012,Yes,No
101013,No,No
101014,Yes,No
101015,Yes,No
101016,No,Yes
101017,No,No
101018,Yes,No
101019,No,No
101020,No,Yes
101021,No,No
101022,No,No
101023,No,Yes
101024,No,Yes
101025,No,No
101026,Yes,No
101027,No,No
101028,Yes,No
101029,Yes,Yes
101030,No,No
101031,No,No
101032,No,No
101033,No,No
101034,No,No
101035,Yes,No
101036,Yes,Yes
101037,Yes,Yes
101038,No,No
101039,No,No
101040,No,No
101041,Yes,No
101042,No,No
101043, No,Yes
101044,No,No
101045,No,No
101046,No,No
101047,No,No
101048,No,No
101049,Yes,Yes
101050,No,No
101051,Yes,No
101052,No, No
101053,No,No
101054,Yes,Yes
101055,No,Yes
101056,No,No
101057,No,No
101058,No,No
101059,No,No
101060,No,No
101061,Yes,No
101062,No,No
101063,Yes,No
101064,No,No
101065,Yes,No
101066,No,No
101067,No,No
101068,No,No
101069,No,Yes
101070,No,No
101071,No,Yes
101072,Yes,No
101073,No,No
101074,No,No
101075,No,No
101076,Yes,No
101077,No,No
101078,No,No
101079,Yes,No
101080,No,No
101081,Yes,Yes
101082,No,No
101083,Yes,No
101084,No,No
101085,No,No
101086,Yes,No
101087,Yes,Yes
101088,Yes,No
101089,Yes,No
101090,No, No
101091,No,Yes
101092,No,Yes
101093,Yes,No
101094,No,No
101095,Yes,Yes
101096,No,No
101097,No,No
101098,Yes,No
101099,No,No
101100,No,Yes
101101,No,No
101102,Yes,No
101103,Yes,No
101104,No,No
101105,No,Yes
101106,No,No
101107,Yes,Yes
101108,Yes,No
101109,No,No
101110,Yes,No
101111,Yes,No
101112,No,No
101113,Yes,No
101114,No,No
101115,No,No
101116,Yes,Yes
101117,Yes,No
101118,Yes,No
101119,No,No
101120,Yes,No
101121,Y,No
101122,Yes,No
101123,No,No
101124,No,No
101125,No,No
101126,No,No
101127,No,No
101128,No,No
101129,No,No
101130,Yes,Yes
101131,No,No
101132,No,No
101133,No,No
101134,No,No
101135,No,No
101136,No,No
101137,No,No
101138,No,No
101139,Yes,No
101140,No,No
101141,Yes,No
101142,Yes,No
101143,No,No
101144,Yes,No
101145,Yes,No
101146,Yes,Yes
101147,Yes,Yes
101148,No,No
101149,No,Yes
101150,No,No
101151,No,No
101152,No,Yes
101153,No,No
101154,Yes,No
101155,Yes,No
101156,No,No
101157,Yes,Yes
101158,No,No
101159,Yes,Yes
101160,Yes,No
101161,Yes,No
101162,No,No
101163,No,No
101164,Yes,No
101165,Yes,No
101166,Yes,No
101167,No,No
101168,Yes,No
101169,No,No
101170,No,No
101171,Y,Yes
101172,No,No
101173,No,No
101174,No,No
101175,No,Yes
101176,No,No
101177,No,No
101178,Yes,Yes
101179,No,No
101180,No,No
101181,No,No
101182,No,Yes
101183,Yes,Yes
101184,No,No
101185,No,No
101186,Yes,No
101187,No,No
101188,Yes,No
101189,Yes,No
101190,Yes,No
101191,No,No
101192,No,No
101193,No,No
101194,No,No
101195,No,No
101196,Yes,No
101197,Yes,Yes
101198,Yes,No
101199,Yes,No
101200,No,Yes
101201,No,No
101202,Yes,No
101203,No,No
101204,Yes,No
101205,Yes,No
101206,Yes,No
101207,No,Yes
101208,No,No
101209,No,No
101210,No,No
101211,No,No
101212,No,No
101213,Yes,No
101214,No,No
101215,Yes,Yes
101216,No,No
101217,No,No
101218,No,No
101219,No,No
101220,No,No
101221,No,No
101222,No,No
101223,No,No
101224,No,No
101225,No,No
101226,Yes,No
101227,No,No
101228,Yes,No
101229,No,No
101230,No,No
101231,No,No
101232,No,No
101233,No,No
101234,No,No
101235,No,No
101236,Yes,No
101237,N,No
101238,Yes,Yes
101239,No,No
101240,No,No
101241,No,No
101242,Yes,No
101243,No,No
101244,No,No
101245,Yes,No
101246,No,No
101247,No,No
101248,Yes,No
101249,No,No
101250,Yes,Yes
101251,No,No
101252,No,No
101253,No,Yes
101254,Yes,No
101255,Yes,No
101256,No,Yes
101257,No,No
101258,No,No
101259,No,Yes
101260,Yes,No
101261,Yes,No
101262,No,No
101263,Yes,No
101264,No,No
101265,No,Yes
101266,Yes,Yes
101267,No, No
101268,Yes,No
101269,Yes,No
101270,No,No
101271,No,No
101272,No,No
101273,No,Yes
101274,No,No
101275,No,No
101276,No,No
101277,No,No
101278,Yes,No
101279,No,No
101280,No,No
101281,No,No
101282,Yes,Yes
101283,Yes,No
101284,No,No
101285,Yes,No
101286,No,No
101287,No,Yes
101288,Yes,No
101289,No,No
101290,No,No
101291,Yes,Yes
101292,No,No
101293,Yes,No
101294,No,No
101295,No,nan
101296,Yes,No
101297,Yes,No
101298,No,No
101299,No,No
101300,No,No
101301,No,No
101302,No,No
101303,Yes,No
101304,No,No
101305,No,No
101306,No,No
101307,Yes,Yes
101308,No,No
101309,No, No
101310,No,No
101311,No,No
101312,Yes,No
101313,Yes,No
101314,Yes,Yes
101315,No,Yes
101316,Yes,No
101317,No,No
101318,Yes,yes
101319,Yes,No
101320,No,Yes
101321,Yes,Yes
101322,Yes,No
101323,No, No
101324,No,No
101325,No,No
101326,No,No
101327,No,No
101328,No,No
101329,Yes,No
101330,No,No
101331,No,Yes
101332,no,Yes
101333,Yes,No
101334,No,No
101335,No,No
101336,No,No
101337,No,No
101338,No,No
101339,No,Yes
101340,Yes,No
101341,No,No
101342,No,No
101343,Yes,No
101344,Yes,No
101345,No,No
101346,Yes,No
101347,No,Yes
101348,No,No
101349,No,No
101350,Yes,No
101351,Yes,No
101352,No,No
101353,Yes,No
101354,No,No
101355,N,No
101356,No,No
101357,Yes,No
101358,No,No
101359,Yes,Yes
101360,No,No
101361,No,No
101362,No,No
101363,Yes,No
101364,Yes,No
101365,Yes,No
101366,No,No
101367,Yes,No
101368,No,Yes
101369,No,No
101370,No,Yes
101371,Yes,Yes
101372,No,No
101373,No,No
101374,Yes,Yes
101375,No,No
101376,No,Yes
101377,Yes,No
101378,Yes,No
101379,No,No
101380,No,No
101381,Yes,No
101382,No,No
101383,No,No
101384,Yes,No
101385,No,No
101386,Yes,No
101387,Yes,No
101388,Yes,No
101389,Yes,No
101390,No,No
101391,No,No
101392,No,No
101393,No,No
101394,No,No
101395,Yes,No
101396,No,No
101397,Yes,No
101398,Yes,No
101399,No,No
101400,Yes,No
101401,No,No
101402,No,No
101403,No,No
101404,No,No
101405,Yes,No
101406,No,No
101407,nan,No
101408,Yes,No
101409,Yes,No
101410,No,No
101411,Yes,No
101412,Yes,No
101413,No,No
101414,No,No
101415,No,No
101416,Yes,No
101417,Yes,No
101418,Yes,No
101419,No,No
101420,Yes,No
101421,No,nan
101422,No,No
101423,No,Yes
101424,No,No
101425,No,No
101426,No,No
101427,No,No
101428,Yes,No
101429,No,No
101430,No,No
101431,Yes,No
101432,No,Yes
101433,No,Yes
101434,No,No
101435,Yes,No
101436,Yes,No
101437,N,No
101438,Yes,Yes
101439,No,No
101440,Yes,Yes
101441,Yes,No
101442,No,No
101443,Yes,No
101444,No,No
101445,No,No
101446,Yes,No
101447,No,Yes
101448,No,No
101449,Yes,No
101450,Yes,Yes
101451,No,No
101452,No,No
101453,No,No
101454,Yes,No
101455,No,Yes
101456,No,No
101457,N,Yes
101458,No,No
101459,Yes,No
101460,Yes,No
101461,N,No
101462,Yes,No
101463,No,No
101464,No,No
101465,No,No
101466,No,No
101467,Yes,No
101468,No,No
101469,No,No
101470,No,Yes
101471,No,No
101472,No,No
101473,No,No
101474,Yes,No
101475,No,No
101476,No,No
101477,Yes,No
101478, Ye,No
101479,No,No
101480,No,No
101481,Yes,No
101482,No,No
101483,Yes,Yes
101484,Yes,No
101485,Yes,No
101486,Yes,No
101487, No,No
101488,Yes,No
101489,No,No
101490,No,No
101491,Yes,Yes
101492,Yes,No
101493,No,No
101494,No,Yes
101495,Yes,No
101496,Yes,Yes
101497,Yes,Yes
101498,N,No
101499,No,No
101500,No,No
101501,No,No
101502,Yes,No
101503,No,No
101504,No,No
101505,No,No
101506,Yes,No
101507,Yes,No
101508,Yes,No
101509,Yes,No
101510,No,No
101511,No,No
101512,No,No
101513,No,Yes
101514,No,No
101515,No, No
101516,No,No
101517,Yes,No
101518,No,No
101519,Yes,No
101520,Yes,Yes
101521,No,N
101522,No,No
101523,No,No
101524,No,No
101525,Yes,No
101526,No,No
101527,No,No
101528,No,No
101529,No,No
101530,Yes,No
101531,No,Yes
101532,No,No
101533,Yes,Yes
101534,Yes,No
101535,No,No
101536,Yes,No
101537,No,No
101538,Yes,No
101539,No,No
101540,No,No
101541,No,No
101542, No,Yes
101543,Yes,No
101544,Yes,Yes
101545,Yes,No
101546,No,Yes
101547,Yes,Yes
101548,Yes,Yes
101549,No,No
101550,Yes,No
101551,No,No
101552,Yes,No
101553,Yes,No
101554,No,No
101555,No,No
101556,No,No
101557,Yes,Yes
101558,Yes,No
101559,No,No
101560,Yes,Yes
101561,Yes,No
101562,No,No
101563,No,No
101564,No,No
101565,Yes,No
101566,Yes,No
101567,Yes,No
101568,No,No
101569,No,No
101570,Yes,No
101571,No,No
101572,Yes,No
101573,No,No
101574,No,No
101575,Yes,Yes
101576,No,No
101577,No,No
101578,Yes,Yes
101579,No,No
101580,Yes,No
101581,No,No
101582,Yes,No
101583,No,No
101584,No,No
101585,Yes,No
101586,Yes,No
101587,Yes,No
101588,No,No
101589,Yes,Yes
101590,Yes,No
101591,No,No
101592,Yes,Yes
101593,No,Yes
101594,No,No
101595,Yes,No
101596,Yes,Yes
101597,No,No
101598,No,No
101599,No,No
101600,Yes,No
101601,No,No
101602,Yes,Yes
101603,Yes,Yes
101604,No,Yes
101605,No,Yes
101606,Yes,No
101607,Yes,No
101608,Yes,No
101609,Yes,No
101610,No,No
101611,No,Yes
101612,No,No
101613,No,No
101614,Yes,Yes
101615,No,No
101616,Yes,Yes
101617,No,No
101618,No,No
101619,No,No
101620,No,No
101621,Yes,No
101622,No,No
101623,No, No
101624,Yes,No
101625,No,No
101626,Yes,No
101627,No,No
101628,No,No
101629,yes,No
101630,No,No
101631,No,No
101632,Yes,No
101633,No,No
101634,Yes,Yes
101635,No,No
101636,Yes,No
101637,Yes, No
101638,Yes,Yes
101639,No,No
101640,No,No
101641,No,No
101642,Yes,No
101643,Yes,No
101644,No,No
101645,No,No
101646,No,No
101647,No,No
101648,Yes,No
101649,Yes,No
101650,Yes,Yes
101651,No,No
101652,Yes,No
101653,No,No
101654,No,No
101655,Yes,No
101656,No,No
101657,No,Yes
101658,No,Yes
101659,No,No
101660,Yes,No
101661,No,No
101662,Yes,No
101663,Yes,No
101664,No,No
101665,Yes,No
101666,No,No
101667,No,N
101668,No,Yes
101669,No,No
101670,No,No
101671,No,No
101672,No,No
101673,No,No
101674,No,Yes
101675,No,No
101676,No,No
101677,No,Yes
101678,Yes,No
101679,Yes,No
101680,No,No
101681,Yes,No
101682,No,No
101683,No,No
101684,Yes,No
101685,Yes,Yes
101686,No,No
101687,No,No
101688,No,No
101689,Yes,No
101690,No,No
101691,No,No
101692,Yes,No
101693,Yes,No
101694,No,Yes
101695,No,No
101696,Yes,No
101697,Yes,No
101698,Yes,Yes
101699,Yes,Yes
101700,No,No
101701,No,No
101702,No,No
101703,Yes,No
101704,Yes,No
101705,Yes,No
101706,No,No
101707,yes,Yes
101708,Yes,Yes
101709,No,No
101710,No,No
101711,Yes,No
101712,No,No
101713,No,No
101714,No,No
101715,No,No
101716,Yes,No
101717,No,No
101718,No,No
101719,No,No
101720,No,No
101721,No,No
101722,Yes,no
101723,No,No
101724,Yes,No
101725,No,No
101726,No,No
